Sbj,Acq,File,SSIM,PSNR,FSIM,VIF,LPIPS,AES,TG,NGS,GE,IE
20-11-2020,MID00305,flirt_fnWMmoco.nii.gz,0.9994835159664397,42.731194560094906,0.9997189044952393,0.9225849509239197,0.0011949790641665459,0.00730984926120106,0.7238281680552932,0.0005339708213447351,439.36018244864545,566.6644329827734
20-11-2020,MID00305,flirt_fnmoco.nii.gz,0.9994150368279953,42.4934643511569,0.9996580481529236,0.9134674072265625,0.0013857362791895866,0.0072924931305377114,0.7261488031593141,0.0005330946227163339,439.30904140337026,566.6732992010211
20-11-2020,MID00305,flirt_nomoco.nii.gz,1.0,0.0,1.0,0.9999999403953552,0.0,0.007161232890436631,0.7482776502941995,0.0005323840548092972,439.7616395599126,566.6993348994074
20-11-2020,MID00305,flirt_ref.nii.gz,1.0,0.0,1.0,0.9999999403953552,0.0,0.007161232890436631,0.7482776502941995,0.0005323840548092972,439.7616395599126,566.6993348994074
20-11-2020,MID00305,flirt_tclmoco.nii.gz,0.9929202285374722,30.039250176505977,0.9953415393829346,0.6660917401313782,0.020791959017515182,0.0071923383718396575,0.8097816569997931,0.0005242415241700839,443.83905352614835,567.9186184621801
20-11-2020,MID00305,flirt_tclmocos.nii.gz,0.9942351037376106,33.91363280706439,0.9959573149681091,0.6736342906951904,0.016025681048631668,0.006884931825571952,0.6994955028507174,0.0005315649349259606,443.17615009132726,567.428753779714
20-11-2020,MID00306,flirt_fnWMmoco.nii.gz,0.95468466595298,27.178636068202632,0.9763074517250061,0.432055801153183,0.08116468787193298,0.007504444908692523,0.6858365369238623,0.000507153026993965,459.8899532733626,573.5166493367689
20-11-2020,MID00306,flirt_fnmoco.nii.gz,0.9532399030963326,26.69254955019108,0.9764648079872131,0.4294615089893341,0.08464564383029938,0.007570462500345313,0.6803218201336334,0.0005228680203343176,459.12688255934376,573.0804058325211
20-11-2020,MID00306,flirt_nomoco.nii.gz,0.9435555059588356,25.268593896665674,0.9724216461181641,0.38541358709335327,0.09243380278348923,0.0075139913022879605,0.7465192403958568,0.0004978404253652327,462.76834176588113,573.1168762970831
20-11-2020,MID00306,flirt_ref.nii.gz,1.0,0.0,1.0,0.9999999403953552,0.0,0.007161232890436631,0.7482776502941995,0.0005323840548092972,439.7616395599126,566.6993348994074
20-11-2020,MID00306,flirt_tclmoco.nii.gz,0.9555819297247807,23.871633499163217,0.9797030687332153,0.47734639048576355,0.0805482566356659,0.00750253898524205,0.884027409355111,0.00047677179668227003,458.87800669246815,573.3316042811089
20-11-2020,MID00306,flirt_tclmocos.nii.gz,0.9572735044232512,24.267721894991347,0.979706346988678,0.478723406791687,0.07835051417350769,0.007416027415057531,0.8624310013361172,0.0004812679865167638,458.4216798563786,573.3472363582575
20-11-2020,MID00308,flirt_fnWMmoco.nii.gz,0.974190823383141,26.733797271658688,0.985035240650177,0.536602258682251,0.04981287568807602,0.007266703735585047,0.7712133923576516,0.0005038945710083445,449.0608996853734,569.7897416204356
20-11-2020,MID00308,flirt_fnmoco.nii.gz,0.9701756951185231,25.923560936683863,0.9827736616134644,0.5157945156097412,0.05362110584974289,0.007351069330934027,0.7962225829174667,0.0005102450883878024,451.50749414112227,569.4918763748307
20-11-2020,MID00308,flirt_nomoco.nii.gz,0.951357891483591,24.96230959943666,0.9768794775009155,0.4296855330467224,0.06532229483127594,0.007198990674273096,0.7576045445551076,0.0005054860142373541,452.61021109339526,569.7215396149901
20-11-2020,MID00308,flirt_ref.nii.gz,1.0,0.0,1.0,0.9999999403953552,0.0,0.007161232890436631,0.7482776502941995,0.0005323840548092972,439.7616395599126,566.6993348994074
20-11-2020,MID00308,flirt_tclmoco.nii.gz,0.9786916838989665,26.50766247889065,0.9884559512138367,0.5949385762214661,0.04503713548183441,0.007286192022375088,0.7936527876899679,0.0005242265378175657,446.30615227777207,569.9317937956305
