Sbj,Acq,File,SSIM,PSNR,AES,TG,NGS,GE,IE,Score
18-11-2020,MID00291,flirt_tclmoco.nii.gz,0.9880327911655251,31.517057302730265,11.260894203550476,4558166.368321905,0.0006469411293500742,419.8637757232461,1376.7539820544914,3
18-11-2020,MID00291,flirt_tclmocos.nii.gz,0.9900902206973499,31.957422139235952,11.752847258086172,4869507.473890438,0.0006242035367204257,419.41316266081014,1361.5130684064454,3
18-11-2020,MID00294,flirt_fnWMmoco.nii.gz,0.970259972175505,26.203809140392895,11.867149522566766,5273035.647433467,0.0006174687296375103,423.3315599054806,1470.643792018489,3
18-11-2020,MID00294,flirt_fnmoco.nii.gz,0.9562357597546417,25.68434970672746,11.46649300585747,4888537.174078409,0.0006319440546217381,422.47417580130355,1473.289770840209,2
18-11-2020,MID00294,flirt_nomoco.nii.gz,0.9361430423425379,25.88285288626257,10.499711401987401,3861902.911059099,0.0005754492141565151,424.0157885460168,1407.3063306955896,1
18-11-2020,MID00294,flirt_ref.nii.gz,1.0,0.0,12.423968019124532,5306239.177002487,0.0006469941219312917,414.8846417924318,1381.0896931226775,4
18-11-2020,MID00294,flirt_tclmoco.nii.gz,0.9579223648050252,25.638290954165143,11.207981294852754,5044554.011221472,0.0005913617989138709,426.52794951334977,1465.0584395341275,2
18-11-2020,MID00294,flirt_tclmocos.nii.gz,0.9620694243249422,26.705853992671432,11.104387737797433,4777785.142770491,0.0006045327422043393,424.774593898832,1443.3523040729121,2
18-11-2020,MID00295,flirt_fnWMmoco.nii.gz,0.9635302002978978,26.14731672199928,11.362574517342873,4808032.93964283,0.0006085433414998742,423.2313104684573,1448.5516881438903,3
18-11-2020,MID00295,flirt_fnmoco.nii.gz,0.9462321601145465,25.347737284186387,11.102480035748213,4631072.409012131,0.0006282429895727664,419.00412688436904,1462.338652749178,1
18-11-2020,MID00295,flirt_nomoco.nii.gz,0.9228927545816158,24.342623456397988,11.236253323145355,4478999.081626683,0.0005889316031446971,415.947809313359,1497.6873213733506,1
18-11-2020,MID00295,flirt_ref.nii.gz,1.0,0.0,12.423968019124532,5306239.177002487,0.0006469941219312917,414.8846417924318,1381.0896931226775,4
18-11-2020,MID00295,flirt_tclmoco.nii.gz,0.9658249897643292,26.97837235129302,10.713889344675033,4737666.237470619,0.0005867138134831141,423.93991078824195,1431.0560526656232,2
18-11-2020,MID00295,flirt_tclmocos.nii.gz,0.9676218014643168,27.663656461600365,10.456374625442756,4346703.248009705,0.0005911601680313095,423.8972611019919,1397.8178989256453,3
19-02-2021,MID00253,flirt_fnWMmoco.nii.gz,0.9990990869271359,40.08650404502375,11.47308008616407,4888884.909438505,0.000559984669125669,435.26534780608006,1333.6034415581216,4
19-02-2021,MID00253,flirt_fnmoco.nii.gz,0.998967376738662,38.59314662460917,11.580685544029386,4969486.012745167,0.0005596107876112498,435.48193660966894,1338.5989286901108,4
19-02-2021,MID00253,flirt_nomoco.nii.gz,1.0,0.0,11.332684396046925,4786222.002265807,0.0005609514591960759,435.5828485289552,1320.3211558226121,Not Found
19-02-2021,MID00253,flirt_ref.nii.gz,1.0,0.0,11.332684396046925,4786222.002265807,0.0005609514591960759,435.5828485289552,1320.3211558226121,4
19-02-2021,MID00253,flirt_tclmoco.nii.gz,0.9949588654902974,28.915749048774458,11.93826420034064,5295613.251008992,0.0005498135724444254,435.69973555015696,1394.260147177879,4
19-02-2021,MID00253,flirt_tclmocos.nii.gz,0.9950907280376311,28.867089377830478,12.022477321188626,5487382.603837712,0.0005548620471650851,436.49192873130824,1399.9996504448222,4
19-02-2021,MID00254,flirt_fnWMmoco.nii.gz,0.9737362646734626,28.013255414213862,10.70486506640854,4264919.5969694825,0.0005470508165921266,440.9565084238741,1347.138113003113,4
19-02-2021,MID00254,flirt_fnmoco.nii.gz,0.9715228174958445,26.650814289157534,10.982459067647861,4500979.2112157475,0.000553881515312633,440.70652828125014,1375.7857730123774,4
19-02-2021,MID00254,flirt_nomoco.nii.gz,0.9660533508288764,25.667218584194732,10.942715575414816,4534631.833321532,0.0005523055846961636,440.39690261843,1381.5778140507914,4
19-02-2021,MID00254,flirt_ref.nii.gz,1.0,0.0,11.332684396046925,4786222.002265807,0.0005609514591960759,435.5828485289552,1320.3211558226121,4
19-02-2021,MID00254,flirt_tclmoco.nii.gz,0.9733280466251021,25.632421467870596,11.046099442124394,4713664.466614742,0.0005427392580841196,441.18520015073193,1405.5675064001914,4
19-02-2021,MID00254,flirt_tclmocos.nii.gz,0.9750601155339078,26.05827050956698,10.973680969281537,4656630.63711676,0.0005430965040031275,440.9124382304541,1403.6259707386266,4
19-02-2021,MID00256,flirt_fnWMmoco.nii.gz,0.97393600264198,28.082453344396548,10.379490182472223,3998830.0726474547,0.000536717254297574,438.71028078279323,1322.239279856762,4
19-02-2021,MID00256,flirt_fnmoco.nii.gz,0.9664451473941705,26.733445339278337,9.94920665041557,3591321.01692275,0.0005763113312478345,434.4626302418162,1313.3940318965642,4
19-02-2021,MID00256,flirt_nomoco.nii.gz,0.9391080577924545,23.67121832405436,9.588392541090654,3471420.5248638326,0.0005629394140276693,423.00623351462696,1363.9998653742784,1
19-02-2021,MID00256,flirt_ref.nii.gz,1.0,0.0,11.332684396046925,4786222.002265807,0.0005609514591960759,435.5828485289552,1320.3211558226121,4
19-02-2021,MID00256,flirt_tclmoco.nii.gz,0.9704362011902439,26.78486482436349,10.349721478686824,4043704.2727465834,0.0004978428922563367,440.5249162952704,1359.6824170832128,3
19-02-2021,MID00256,flirt_tclmocos.nii.gz,0.9712197689388726,26.876067592287093,9.998600552756445,3800339.0400056643,0.0004963185653064049,441.0535150352606,1331.8784510234223,4
19-02-2021,MID00257,flirt_fnWMmoco.nii.gz,0.9841651175386197,29.244397478496033,10.588337113711814,4146591.739715358,0.0005296676217410777,436.02985092942816,1352.4277973110807,5
19-02-2021,MID00257,flirt_fnmoco.nii.gz,0.9800861557858855,28.603736016229256,10.339401881824763,3970424.7631523046,0.0005269878674838146,435.3767416945768,1354.815141928138,4
19-02-2021,MID00257,flirt_nomoco.nii.gz,0.9568936397094701,24.260799915906052,9.977153638067279,3617714.0245361608,0.0004855433767951262,429.8920352734083,1358.8680254716849,2
19-02-2021,MID00257,flirt_ref.nii.gz,1.0,0.0,11.332684396046925,4786222.002265807,0.0005609514591960759,435.5828485289552,1320.3211558226121,4
19-02-2021,MID00257,flirt_tclmoco.nii.gz,0.984032124892467,30.30917774590778,9.988754842616565,3790674.574948665,0.0005349355392169414,438.57794507212014,1327.2547719315248,5
19-02-2021,MID00257,flirt_tclmocos.nii.gz,0.9840535976528368,30.381025749656967,10.07685642492274,3841450.7135877647,0.0005425966044972962,438.8258549147539,1330.2217586434822,4
20-11-2020,MID00305,flirt_fnWMmoco.nii.gz,0.9995309652867082,44.3794236745968,11.323004590455573,4976234.691312646,0.0005339708213447362,439.36018244864556,1437.1785009855953,4
20-11-2020,MID00305,flirt_fnmoco.nii.gz,0.9994460730742292,43.44906437526924,11.334255156444213,4961771.86739238,0.0005330946227163344,439.3090414033703,1432.974124444458,4
20-11-2020,MID00305,flirt_nomoco.nii.gz,1.0,0.0,11.438775994725937,5054466.620484908,0.0005323840548092972,439.7616395599126,1448.3103918236948,Not Found
20-11-2020,MID00305,flirt_ref.nii.gz,1.0,0.0,11.438775994725937,5054466.620484908,0.0005323840548092972,439.7616395599126,1448.3103918236948,4
20-11-2020,MID00305,flirt_tclmoco.nii.gz,0.9932325659235584,31.062560463262177,11.928522007461986,5340205.550010603,0.0005242415241700835,443.83905352614835,1523.0103355311987,4
20-11-2020,MID00305,flirt_tclmocos.nii.gz,0.9931900861583975,30.81561021595384,12.037856969472779,5566613.891001626,0.0005315649349259612,443.17615009132726,1531.5072830710387,4
20-11-2020,MID00306,flirt_fnWMmoco.nii.gz,0.9486000417998817,24.802488255772715,12.283259975015568,5633431.137484979,0.0005071530269939651,459.8899532733626,1696.7486862198045,2
20-11-2020,MID00306,flirt_fnmoco.nii.gz,0.9471062285428652,24.608248609321976,12.269289204139412,5533672.374072242,0.0005228680203343167,459.12688255934376,1705.0093797778727,2
20-11-2020,MID00306,flirt_nomoco.nii.gz,0.9393380810230754,24.86427826598243,11.859715902752772,5711436.557574044,0.0004978404253652329,462.76834176588113,1697.9199426061346,2
20-11-2020,MID00306,flirt_ref.nii.gz,1.0,0.0,11.438775994725937,5054466.620484908,0.0005323840548092972,439.7616395599126,1448.3103918236948,4
20-11-2020,MID00306,flirt_tclmoco.nii.gz,0.9588314263675424,26.283934823671323,11.779037061306528,5489866.789849438,0.0004767717966822709,458.87800669246815,1638.4294701776714,2
20-11-2020,MID00306,flirt_tclmocos.nii.gz,0.9591361308078746,26.069186449702816,11.94469238121889,5533434.060931646,0.0004812679865167628,458.4216798563786,1647.637785503156,2
20-11-2020,MID00308,flirt_fnWMmoco.nii.gz,0.9746331850982043,27.72259459291156,11.430198347141598,5085862.346363187,0.0005038945710083455,449.0608996853734,1581.8698361014858,2
20-11-2020,MID00308,flirt_fnmoco.nii.gz,0.9727229629310902,29.68091216547478,10.87055876062369,4597714.848801866,0.000510245088387801,451.50749414112227,1519.9293298582986,2
20-11-2020,MID00308,flirt_nomoco.nii.gz,0.9537684017611614,28.378762998358354,10.282238769051983,4331135.026280749,0.0005054860142373538,452.61021109339526,1518.7933991182122,2
20-11-2020,MID00308,flirt_ref.nii.gz,1.0,0.0,11.438775994725937,5054466.620484908,0.0005323840548092972,439.7616395599126,1448.3103918236948,4
20-11-2020,MID00308,flirt_tclmoco.nii.gz,0.9810091956866288,29.51378668017744,11.369654654605103,4798965.231921962,0.0005242265378175655,446.3061522777722,1550.3950733633048,3
20-11-2020,MID00308,flirt_tclmocos.nii.gz,0.9816093729636466,29.435002569985954,11.370715403338147,4838291.200537216,0.0005383674964895287,446.2863890669746,1549.0455399905368,3
20-11-2020,MID00309,flirt_fnWMmoco.nii.gz,0.9717949356309936,27.163438068939882,11.42957076505145,5304079.774227751,0.0004883457408084847,450.7643414223396,1586.3600070955708,2
20-11-2020,MID00309,flirt_fnmoco.nii.gz,0.9673322452629277,26.808649139166846,11.354463912150006,5073799.066374497,0.0004917396926579996,450.4351202974938,1593.9758078023565,2
20-11-2020,MID00309,flirt_nomoco.nii.gz,0.9383471637749292,26.45977731454195,10.506407076104423,4399180.013854528,0.0004859351219360699,448.3427268996876,1553.0181804590034,1
20-11-2020,MID00309,flirt_ref.nii.gz,1.0,0.0,11.438775994725937,5054466.620484908,0.0005323840548092972,439.7616395599126,1448.3103918236948,4
20-11-2020,MID00309,flirt_tclmoco.nii.gz,0.9812222951155414,28.67794860231853,11.355127973145645,5264495.3085459815,0.0005061809523118176,447.65498932214723,1553.6248578271975,3
20-11-2020,MID00309,flirt_tclmocos.nii.gz,0.9817034060181467,28.956796895148067,11.41558343447422,5156258.590231145,0.000513287200009466,448.4078727916477,1552.0657568142103,3
23-02-2021,MID00296,flirt_fnWMmoco.nii.gz,0.9993132999463349,46.07781151235302,12.887864815692984,6216961.420007275,0.0006977029499265317,432.0738885075045,1488.5343873757608,4
23-02-2021,MID00296,flirt_fnmoco.nii.gz,0.9993339273978993,45.88967670636002,12.828060621696006,6169036.596144052,0.0006982434346162266,432.1377584968778,1483.6610159582765,4
23-02-2021,MID00296,flirt_nomoco.nii.gz,1.0,0.0,12.678703316289281,6094595.354965442,0.0006972584969732697,431.940506016319,1482.9361743236514,Not Found
23-02-2021,MID00296,flirt_ref.nii.gz,1.0,0.0,12.678703316289281,6094595.354965442,0.0006972584969732697,431.940506016319,1482.9361743236514,4
23-02-2021,MID00296,flirt_tclmoco.nii.gz,0.9938408192230501,34.36926462360439,12.125027567078938,5837841.357875591,0.0006331458287679007,434.4971363505928,1525.259647915966,3
23-02-2021,MID00296,flirt_tclmocos.nii.gz,0.9948181990015162,34.93199250362198,12.660637215002293,5895549.943834121,0.0006624735411083803,433.31468437271826,1525.9309727381687,4
23-02-2021,MID00297,flirt_fnWMmoco.nii.gz,0.9706765142896381,29.417448515288534,11.155270115173348,5064926.095889415,0.0006504935130617089,439.04531837493903,1581.3347561207488,2
23-02-2021,MID00297,flirt_fnmoco.nii.gz,0.9712146791042711,29.63441461996144,11.040996079508353,4935755.995198254,0.0006466479941551574,438.9543982021629,1565.6632115468701,2
23-02-2021,MID00297,flirt_nomoco.nii.gz,0.9644236330592124,29.6077882996509,10.730517950483206,4618451.326882503,0.0006635191091029056,436.9509230677029,1532.461021262325,2
23-02-2021,MID00297,flirt_ref.nii.gz,1.0,0.0,12.678703316289281,6094595.354965442,0.0006972584969732697,431.940506016319,1482.9361743236514,5
23-02-2021,MID00297,flirt_tclmoco.nii.gz,0.9731942465065765,29.95226929737367,11.12309806164404,5078547.259367042,0.0006338848713800835,440.64352298949314,1549.179695091444,2
23-02-2021,MID00297,flirt_tclmocos.nii.gz,0.9750470634792534,30.590386884357788,10.709478280450256,4730077.659221536,0.0006309002752953583,440.89448383343665,1513.7857277852308,2
23-02-2021,MID00299,flirt_fnWMmoco.nii.gz,0.9647876010849508,28.26931529466861,11.29847989862878,5115647.1631866135,0.0006262528292553295,439.6491653990219,1587.835398814522,2
23-02-2021,MID00299,flirt_fnmoco.nii.gz,0.9645322493155218,28.176931245862285,11.316406982771527,5146676.392724627,0.0006269607373291846,439.63590639288776,1589.0528669521864,2
23-02-2021,MID00299,flirt_nomoco.nii.gz,0.9609455217316413,28.746273970592128,10.543018883118577,4754123.686867952,0.0006237899500201801,440.46741003596816,1536.479018372347,2
