Sbj,Acq,File,SSIM,PSNR,FSIM,VIF,LPIPS,AES,TG,NGS,GE,IE,Score
20-11-2020,MID00306,flirt_fnWMmoco.nii.gz,0.49284255504608154,22.6297607421875,0.8096991777420044,0.012328590266406536,0.4044601619243622,0.00842217356907149,0.005870200489159486,6.174525367166384e-07,1097.7738737506743,1192.394287109375,2
20-11-2020,MID00306,flirt_fnmoco.nii.gz,0.5050925016403198,23.318395614624023,0.8273808360099792,0.01149703748524189,0.37979480624198914,0.008351917549692764,0.0058151950530375635,6.560241042075278e-07,1106.93899313689,1195.13427734375,2
20-11-2020,MID00306,flirt_nomoco.nii.gz,0.5546867847442627,23.698505401611328,0.8211933970451355,0.013584963046014309,0.3656410574913025,0.008784916509197478,0.006632920108632876,7.91176646827271e-07,1099.9842358183537,1189.4090576171875,2
20-11-2020,MID00306,flirt_ref.nii.gz,1.0,inf,1.0,0.9999998807907104,0.0,0.00900986382880079,0.0010495876113021526,1.362676970109746e-07,1249.6178741283206,1238.5911865234375,4
20-11-2020,MID00306,flirt_tclmoco.nii.gz,0.4731141924858093,21.788406372070312,0.7978354096412659,0.011479065753519535,0.39747148752212524,0.007484006456571445,0.004050591373248235,4.0213986534091076e-07,1097.0092560276628,1199.863037109375,2
20-11-2020,MID00306,flirt_tclmocos.nii.gz,0.4773666262626648,21.83672332763672,0.7976080775260925,0.013315830379724503,0.4074384868144989,0.007642137435429203,0.0039806881612717065,3.9607480638104395e-07,1100.1818022361874,1191.242919921875,2
20-11-2020,MID00308,flirt_fnWMmoco.nii.gz,0.7440199255943298,26.115495681762695,0.8317211270332336,0.003268857952207327,0.25497448444366455,0.008440152334196756,0.0007465145373448183,9.960275175685319e-08,1201.9775512658332,1228.8690185546875,2
20-11-2020,MID00308,flirt_fnmoco.nii.gz,0.7528923749923706,25.916027069091797,0.8295654654502869,0.004172383341938257,0.25480473041534424,0.008462273064859447,0.0007780662799717987,1.0477779085724795e-07,1212.2246349706306,1222.6451416015625,2
20-11-2020,MID00308,flirt_nomoco.nii.gz,0.7110788822174072,25.258237838745117,0.8309817910194397,0.0033888553734868765,0.265014111995697,0.008504021783057597,0.0009289445021769667,1.279238075558622e-07,1213.4616417710015,1236.16015625,2
20-11-2020,MID00308,flirt_ref.nii.gz,1.0,inf,1.0,0.9999998807907104,0.0,0.00900986382880079,0.0010495876113021526,1.362676970109746e-07,1249.6178741283206,1238.5911865234375,4
