Subject,Acquisition,Radiographer1,Radiographer2,Radiologist1,Radiologist2
sub-15,acq-mpragepmcoff_rec-wre_run-02,3,2,2,3
sub-15,acq-mpragepmcoff_rec-wore_run-02,2,2,2,3
sub-15,acq-mpragepmcoff_rec-wre_run-03,3,2,2,3
sub-15,acq-mpragepmcoff_rec-wore_run-03,1,1,1,1
sub-15,ref_mprage,5,5,5,4
sub-15,acq-mpragepmcon_rec-wre_run-02,4,4,4,3
sub-15,acq-mpragepmcon_rec-wore_run-02,3,2,2,3
sub-15,acq-mpragepmcon_rec-wre_run-03,2,2,1,2
sub-15,acq-mpragepmcon_rec-wore_run-03,1,1,1,1
sub-15,acq-mpragepmcon_rec-wore_run-01,3,3,4,4
sub-16,acq-mpragepmcoff_rec-wre_run-02,3,3,3,3
sub-16,acq-mpragepmcoff_rec-wore_run-02,3,2,2,3
sub-16,acq-mpragepmcoff_rec-wre_run-03,3,2,3,3
sub-16,acq-mpragepmcoff_rec-wore_run-03,2,2,2,2
sub-16,ref_mprage,5,5,5,4
sub-16,acq-mpragepmcon_rec-wre_run-02,4,4,4,4
sub-16,acq-mpragepmcon_rec-wore_run-02,4,3,4,3
sub-16,acq-mpragepmcon_rec-wre_run-03,4,3,4,4
sub-16,acq-mpragepmcon_rec-wore_run-03,3,3,3,3
sub-16,acq-mpragepmcon_rec-wore_run-01,4,5,5,4
sub-17,acq-mpragepmcoff_rec-wre_run-02,4,4,4,4
sub-17,acq-mpragepmcoff_rec-wore_run-02,2,2,2,3
sub-17,acq-mpragepmcoff_rec-wre_run-03,3,3,3,3
sub-17,acq-mpragepmcoff_rec-wore_run-03,2,2,3,2
sub-17,ref_mprage,5,5,5,4
sub-17,acq-mpragepmcon_rec-wre_run-02,4,4,4,3
sub-17,acq-mpragepmcon_rec-wore_run-02,3,3,4,3
sub-17,acq-mpragepmcon_rec-wre_run-03,4,4,4,4
sub-17,acq-mpragepmcon_rec-wore_run-03,3,2,4,3
